test,failure_type,workload,duration_seconds,result
1,pod-delete,workload-01,7,PASS
2,pod-delete,workload-02,7,PASS
3,pod-delete,workload-03,7,PASS
4,pod-delete,workload-04,5,PASS
5,pod-delete,workload-05,6,PASS
6,pod-delete,workload-06,6,PASS
7,pod-delete,workload-07,7,PASS
8,pod-delete,workload-08,7,PASS
9,pod-delete,workload-09,7,PASS
10,pod-delete,workload-10,8,PASS
11,deployment-delete,workload-11,7,PASS
12,deployment-delete,workload-12,6,PASS
13,deployment-delete,workload-13,6,PASS
14,deployment-delete,workload-14,6,PASS
15,deployment-delete,workload-15,6,PASS
16,deployment-delete,workload-16,5,PASS
17,deployment-delete,workload-17,8,PASS
18,deployment-delete,workload-18,6,PASS
19,deployment-delete,workload-19,7,PASS
20,deployment-delete,workload-20,6,PASS
21,replica-drift,workload-01,6,PASS
22,replica-drift,workload-02,7,PASS
23,replica-drift,workload-03,7,PASS
24,replica-drift,workload-04,6,PASS
25,replica-drift,workload-05,6,PASS
26,replica-drift,workload-06,5,PASS
27,replica-drift,workload-07,6,PASS
28,replica-drift,workload-08,7,PASS
29,replica-drift,workload-09,9,PASS
30,replica-drift,workload-10,6,PASS
